Airline,FlightNumber,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
B6,735,JFK,BQN,Wednesday,05:55,215,0
DL,377,BDL,DTW,Wednesday,05:55,130,0
HA,202,HNL,ITO,Wednesday,05:55,49,0
MQ,2864,SGF,DFW,Wednesday,05:55,90,0
OH,6262,OMA,DTW,Wednesday,05:55,137,1
OH,6414,AZO,DTW,Wednesday,05:55,58,0
OO,7014,RDM,SFO,Wednesday,05:55,101,0
9E,3668,TYS,LGA,Wednesday,06:00,131,0
9E,3724,ABE,DTW,Wednesday,06:00,115,0
9E,3755,SWF,DTW,Wednesday,06:00,120,0
9E,3757,BGM,DTW,Wednesday,06:00,103,0
9E,3795,SBN,CVG,Wednesday,06:00,60,1
9E,3845,AVP,DTW,Wednesday,06:00,105,0
9E,3850,FNT,DTW,Wednesday,06:00,48,0
9E,3871,BHM,DTW,Wednesday,06:00,125,0
9E,3875,GSP,DTW,Wednesday,06:00,115,0
9E,3893,FWA,ATL,Wednesday,06:00,115,0
9E,3923,IAH,MEM,Wednesday,06:00,95,0
9E,3957,ATW,MSP,Wednesday,06:00,76,1
9E,3985,DSM,MEM,Wednesday,06:00,100,1
9E,4008,BTV,JFK,Wednesday,06:00,100,0
9E,4026,ORF,DTW,Wednesday,06:00,125,1
9E,4058,LAN,DTW,Wednesday,06:00,50,0
9E,4239,ITH,DTW,Wednesday,06:00,97,1
9E,4272,ECP,MEM,Wednesday,06:00,90,0
9E,4324,DCA,JFK,Wednesday,06:00,82,0
AA,1056,TUL,DFW,Wednesday,06:00,70,0
AA,1140,SAT,DFW,Wednesday,06:00,65,0
AA,1143,TPA,DFW,Wednesday,06:00,170,0
AA,1215,DCA,DFW,Wednesday,06:00,210,0
AA,1225,COS,DFW,Wednesday,06:00,120,0
AA,1406,OMA,DFW,Wednesday,06:00,125,0
AA,1584,LAS,DFW,Wednesday,06:00,160,0
AA,1596,PDX,DFW,Wednesday,06:00,225,0
AA,1602,ELP,DFW,Wednesday,06:00,100,0
AA,1615,BDL,DFW,Wednesday,06:00,260,0
AA,1631,MSY,MIA,Wednesday,06:00,105,0
AA,1670,AUS,ORD,Wednesday,06:00,165,0
AA,1755,ABQ,DFW,Wednesday,06:00,105,0
AA,1839,OKC,DFW,Wednesday,06:00,60,0
AA,1843,BOS,ORD,Wednesday,06:00,175,0
AA,1878,SMF,DFW,Wednesday,06:00,205,0
AA,1921,EWR,MIA,Wednesday,06:00,185,0
AA,1965,STL,DFW,Wednesday,06:00,115,0
AA,1994,IAH,MIA,Wednesday,06:00,135,0
AA,2037,BNA,MIA,Wednesday,06:00,135,1
AA,2060,SEA,ORD,Wednesday,06:00,245,1
AA,2103,IAD,MIA,Wednesday,06:00,160,0
AA,2203,LGA,MIA,Wednesday,06:00,190,1
AA,2299,DTW,MIA,Wednesday,06:00,190,0
AA,2301,ORD,DFW,Wednesday,06:00,150,1
AA,445,DCA,ORD,Wednesday,06:00,125,0
AA,526,SFO,DFW,Wednesday,06:00,215,0
AA,528,LAX,MIA,Wednesday,06:00,280,1
AA,548,LAX,ORD,Wednesday,06:00,240,0
AA,552,SFO,MIA,Wednesday,06:00,315,1
AA,654,PHX,DFW,Wednesday,06:00,130,0
AA,708,AUS,DFW,Wednesday,06:00,60,0
AS,454,SEA,LAX,Wednesday,06:00,150,0
AS,55,ANC,FAI,Wednesday,06:00,58,0
AS,600,SEA,LAS,Wednesday,06:00,143,0
AS,62,FAI,ANC,Wednesday,06:00,70,0
AS,81,SEA,ANC,Wednesday,06:00,219,0
B6,1001,BOS,JFK,Wednesday,06:00,71,1
B6,1133,SYR,JFK,Wednesday,06:00,85,0
B6,1224,RDU,BOS,Wednesday,06:00,101,1
B6,155,JFK,MCO,Wednesday,06:00,168,0
B6,162,RSW,JFK,Wednesday,06:00,156,0
B6,1695,BOS,MCO,Wednesday,06:00,192,0
B6,19,BTV,JFK,Wednesday,06:00,84,0
B6,247,OAK,LGB,Wednesday,06:00,77,0
B6,370,FLL,LGA,Wednesday,06:00,159,1
B6,371,LGA,FLL,Wednesday,06:00,174,0
B6,442,TPA,BOS,Wednesday,06:00,167,0
B6,45,ROC,JFK,Wednesday,06:00,83,0
B6,52,MCO,JFK,Wednesday,06:00,141,0
B6,68,FLL,JFK,Wednesday,06:00,160,1
B6,701,JFK,SJU,Wednesday,06:00,218,0
CO,1045,CLE,IAH,Wednesday,06:00,190,0
CO,1428,CLT,IAH,Wednesday,06:00,180,0
CO,1617,MCI,IAH,Wednesday,06:00,118,1
CO,1810,SMF,IAH,Wednesday,06:00,220,0
CO,1815,OMA,IAH,Wednesday,06:00,138,1
CO,308,PDX,IAH,Wednesday,06:00,238,0
CO,469,SFO,IAH,Wednesday,06:00,225,1
CO,759,DCA,IAH,Wednesday,06:00,206,0
CO,89,IAH,EWR,Wednesday,06:00,200,0
DL,1084,ANC,MSP,Wednesday,06:00,326,0
DL,1106,SEA,SLC,Wednesday,06:00,120,0
DL,1157,CMH,ATL,Wednesday,06:00,110,0
DL,1181,RSW,ATL,Wednesday,06:00,110,0
DL,1249,PWM,ATL,Wednesday,06:00,192,0
DL,1297,JFK,ATL,Wednesday,06:00,168,0
DL,1301,IND,ATL,Wednesday,06:00,105,0
DL,1371,BOS,LGA,Wednesday,06:00,68,0
DL,1401,BOS,ATL,Wednesday,06:00,190,0
DL,1445,DCA,DTW,Wednesday,06:00,102,0
DL,1447,LGA,ATL,Wednesday,06:00,167,0
DL,1504,MCI,DTW,Wednesday,06:00,118,0
DL,1602,LAS,ATL,Wednesday,06:00,223,0
DL,1625,BWI,ATL,Wednesday,06:00,120,0
DL,1767,CLT,DTW,Wednesday,06:00,115,0
DL,1831,PDX,SLC,Wednesday,06:00,107,1
DL,1889,CVG,ATL,Wednesday,06:00,103,0
DL,1949,RDU,ATL,Wednesday,06:00,87,0
DL,2205,MDW,ATL,Wednesday,06:00,120,0
DL,2280,STL,ATL,Wednesday,06:00,110,1
DL,2437,CLT,ATL,Wednesday,06:00,82,1
DL,2480,SEA,DTW,Wednesday,06:00,253,0
DL,2525,BOS,MSP,Wednesday,06:00,210,1
DL,2530,BZN,MSP,Wednesday,06:00,138,0
DL,2581,SDF,ATL,Wednesday,06:00,84,0
DL,2806,SFO,MSP,Wednesday,06:00,222,0
DL,2816,LAS,DTW,Wednesday,06:00,233,0
DL,725,SFO,SLC,Wednesday,06:00,113,0
EV,4942,JAX,DCA,Wednesday,06:00,112,0
EV,4946,ABY,ATL,Wednesday,06:00,50,0
EV,4979,TRI,ATL,Wednesday,06:00,67,0
EV,4998,XNA,ATL,Wednesday,06:00,119,0
EV,5011,ROA,DTW,Wednesday,06:00,98,0
EV,5027,MLI,ATL,Wednesday,06:00,130,0
EV,5079,LYH,ATL,Wednesday,06:00,85,0
EV,5141,EVV,ATL,Wednesday,06:00,80,0
EV,5169,HPN,ATL,Wednesday,06:00,151,0
EV,5265,SYR,DTW,Wednesday,06:00,115,0
EV,5275,FAY,ATL,Wednesday,06:00,86,0
EV,5313,EWN,ATL,Wednesday,06:00,98,0
EV,5316,CSG,ATL,Wednesday,06:00,44,0
EV,5366,SGF,ATL,Wednesday,06:00,119,0
EV,5374,CAK,ATL,Wednesday,06:00,109,1
EV,5387,GPT,ATL,Wednesday,06:00,80,1
EV,5435,MLU,ATL,Wednesday,06:00,98,1
EV,5460,MOB,ATL,Wednesday,06:00,77,1
EV,5479,LFT,ATL,Wednesday,06:00,120,0
EV,5491,OAJ,ATL,Wednesday,06:00,98,0
EV,5507,CHO,ATL,Wednesday,06:00,102,0
EV,5564,ILM,ATL,Wednesday,06:00,88,1
EV,5605,ROA,ATL,Wednesday,06:00,86,0
EV,7070,ROA,ORD,Wednesday,06:00,116,0
EV,7075,DTW,IAD,Wednesday,06:00,90,1
EV,7086,DAY,IAD,Wednesday,06:00,90,0
EV,7097,CMH,ORD,Wednesday,06:00,82,0
EV,7100,CAE,ORD,Wednesday,06:00,128,1
EV,7116,JFK,IAD,Wednesday,06:00,81,0
EV,7323,BMI,ATL,Wednesday,06:00,115,0
EV,7378,DEN,CVG,Wednesday,06:00,158,0
F9,225,MDW,DEN,Wednesday,06:00,157,1
F9,377,BOS,MKE,Wednesday,06:00,165,1
FL,143,DTW,ATL,Wednesday,06:00,125,0
FL,155,IND,BWI,Wednesday,06:00,105,0
FL,183,DCA,ATL,Wednesday,06:00,123,0
FL,200,CAK,ATL,Wednesday,06:00,120,0
FL,254,FNT,ATL,Wednesday,06:00,134,0
FL,281,BOS,ATL,Wednesday,06:00,180,0
FL,359,LGA,ATL,Wednesday,06:00,161,0
FL,429,PNS,ATL,Wednesday,06:00,69,0
FL,557,BUF,ATL,Wednesday,06:00,135,0
FL,630,DAY,BWI,Wednesday,06:00,93,0
FL,726,DFW,MKE,Wednesday,06:00,135,0
FL,738,MSP,MKE,Wednesday,06:00,70,0
FL,84,FLL,ATL,Wednesday,06:00,113,0
FL,901,PHF,ATL,Wednesday,06:00,123,0
FL,912,MKE,BWI,Wednesday,06:00,120,1
FL,942,ROC,BWI,Wednesday,06:00,83,0
FL,967,ACY,ATL,Wednesday,06:00,135,1
MQ,2731,CVG,DFW,Wednesday,06:00,165,0
MQ,2750,JAN,DFW,Wednesday,06:00,100,1
MQ,2963,CID,DFW,Wednesday,06:00,140,0
MQ,3256,GRK,DFW,Wednesday,06:00,50,0
MQ,3265,HOU,DFW,Wednesday,06:00,70,0
MQ,3280,CRP,DFW,Wednesday,06:00,80,0
MQ,3325,DSM,DFW,Wednesday,06:00,130,0
MQ,3357,MOB,DFW,Wednesday,06:00,115,0
MQ,3372,BTR,DFW,Wednesday,06:00,90,0
MQ,3450,XNA,DFW,Wednesday,06:00,70,0
MQ,3512,MKE,DFW,Wednesday,06:00,165,0
MQ,3650,TYS,MIA,Wednesday,06:00,135,0
MQ,3736,ORD,EWR,Wednesday,06:00,120,1
MQ,3748,ORD,MSP,Wednesday,06:00,85,0
MQ,3768,EWR,ORD,Wednesday,06:00,165,0
MQ,3807,ORD,ATL,Wednesday,06:00,120,1
MQ,3853,ATL,ORD,Wednesday,06:00,115,0
MQ,3884,CLE,ORD,Wednesday,06:00,85,0
MQ,3908,CRW,ORD,Wednesday,06:00,105,0
MQ,3914,ICT,ORD,Wednesday,06:00,105,0
MQ,3939,BNA,ORD,Wednesday,06:00,105,0
MQ,4067,RIC,ORD,Wednesday,06:00,140,0
MQ,4114,PIT,ORD,Wednesday,06:00,105,1
MQ,4176,CMH,ORD,Wednesday,06:00,80,0
MQ,4223,ROC,ORD,Wednesday,06:00,125,0
MQ,4260,BWI,ORD,Wednesday,06:00,140,0
MQ,4275,MSN,ORD,Wednesday,06:00,55,0
MQ,4382,BOS,JFK,Wednesday,06:00,79,0
MQ,4420,BOS,LGA,Wednesday,06:00,80,0
MQ,4448,DCA,JFK,Wednesday,06:00,70,0
MQ,4581,CLT,LGA,Wednesday,06:00,110,1
MQ,4625,LGA,RDU,Wednesday,06:00,100,0
MQ,4629,RDU,LGA,Wednesday,06:00,95,0
MQ,4650,LGA,ATL,Wednesday,06:00,150,0
MQ,4697,DTW,LGA,Wednesday,06:00,100,0
OH,6341,RIC,DTW,Wednesday,06:00,125,0
OH,6357,BDL,DCA,Wednesday,06:00,84,0
OH,6379,BOS,JFK,Wednesday,06:00,88,0
OH,6401,HTS,CVG,Wednesday,06:00,53,0
OH,6560,ORD,JFK,Wednesday,06:00,133,0
OH,6655,OMA,MEM,Wednesday,06:00,114,0
OH,6668,CHS,LGA,Wednesday,06:00,118,0
OO,4611,SAT,SLC,Wednesday,06:00,175,0
OO,4662,ABQ,SLC,Wednesday,06:00,101,0
OO,4676,BNA,MSP,Wednesday,06:00,144,0
OO,4765,LAS,LAX,Wednesday,06:00,75,0
OO,4802,DFW,SLC,Wednesday,06:00,168,1
OO,4888,COS,MSP,Wednesday,06:00,135,1
OO,6245,MFR,SFO,Wednesday,06:00,81,0
OO,6285,MFR,DEN,Wednesday,06:00,155,1
OO,6300,FAT,LAX,Wednesday,06:00,59,0
OO,6330,ONT,SFO,Wednesday,06:00,85,0
OO,6345,PSC,SFO,Wednesday,06:00,125,0
OO,6359,BOI,SFO,Wednesday,06:00,112,1
OO,6399,ORD,MCI,Wednesday,06:00,88,1
OO,6405,PDX,SFO,Wednesday,06:00,105,0
OO,6434,SBP,LAX,Wednesday,06:00,62,0
OO,6471,ABQ,LAX,Wednesday,06:00,121,0
OO,6506,ELP,LAX,Wednesday,06:00,137,0
OO,6512,CLD,LAX,Wednesday,06:00,40,1
OO,6586,PSP,DEN,Wednesday,06:00,131,0
OO,6612,SLC,DEN,Wednesday,06:00,93,0
OO,6682,SBA,DEN,Wednesday,06:00,142,0
OO,6684,MEM,ORD,Wednesday,06:00,110,0
OO,6732,MRY,DEN,Wednesday,06:00,146,0
OO,6743,ATW,ORD,Wednesday,06:00,55,0
OO,6766,GEG,SFO,Wednesday,06:00,136,1
OO,6820,RDD,SFO,Wednesday,06:00,78,0
OO,6836,PAH,ORD,Wednesday,06:00,78,1
OO,6893,ACV,SFO,Wednesday,06:00,82,1
OO,6918,CMX,ORD,Wednesday,06:00,82,0
OO,6930,ORD,TYS,Wednesday,06:00,87,1
OO,6936,SPI,ORD,Wednesday,06:00,60,0
OO,6948,COS,ORD,Wednesday,06:00,146,0
OO,6949,EUG,DEN,Wednesday,06:00,155,0
OO,6975,DFW,ORD,Wednesday,06:00,139,0
OO,6997,MKE,ORD,Wednesday,06:00,44,1
OO,7006,EUG,PDX,Wednesday,06:00,41,0
OO,7008,CIC,SFO,Wednesday,06:00,65,0
OO,7049,SEA,PDX,Wednesday,06:00,48,0
OO,7763,PIH,SLC,Wednesday,06:00,48,0
OO,7768,SGU,SLC,Wednesday,06:00,73,1
OO,7799,COD,SLC,Wednesday,06:00,89,0
UA,189,BWI,ORD,Wednesday,06:00,135,0
UA,18,LAX,DEN,Wednesday,06:00,146,0
UA,201,BOS,IAD,Wednesday,06:00,103,0
UA,203,BOS,ORD,Wednesday,06:00,171,0
UA,226,SFO,BOS,Wednesday,06:00,342,0
UA,234,OMA,ORD,Wednesday,06:00,96,1
UA,257,JAX,ORD,Wednesday,06:00,156,0
UA,303,JFK,SFO,Wednesday,06:00,404,0
UA,32,PDX,DEN,Wednesday,06:00,146,0
UA,337,PHL,ORD,Wednesday,06:00,137,0
UA,376,ORD,PHL,Wednesday,06:00,125,0
UA,410,SMF,DEN,Wednesday,06:00,144,0
UA,468,SEA,SFO,Wednesday,06:00,130,0
UA,475,CLT,ORD,Wednesday,06:00,133,1
UA,494,DSM,ORD,Wednesday,06:00,80,0
UA,506,SFO,PHX,Wednesday,06:00,120,0
UA,510,LAS,SFO,Wednesday,06:00,95,0
UA,520,MSP,ORD,Wednesday,06:00,84,0
UA,532,DEN,ORD,Wednesday,06:00,141,0
UA,650,BDL,IAD,Wednesday,06:00,94,0
UA,668,ORD,LGA,Wednesday,06:00,127,1
UA,669,LGA,ORD,Wednesday,06:00,150,0
UA,705,IAD,ORD,Wednesday,06:00,131,0
UA,707,ORD,DEN,Wednesday,06:00,160,0
UA,736,SFO,LAS,Wednesday,06:00,98,0
UA,740,OAK,DEN,Wednesday,06:00,146,0
UA,90,LAX,SFO,Wednesday,06:00,89,0
UA,922,ORD,IAD,Wednesday,06:00,108,0
US,1050,RDU,CLT,Wednesday,06:00,57,0
US,1262,MIA,PHL,Wednesday,06:00,169,0
US,1267,LGA,PHL,Wednesday,06:00,57,0
US,1296,STL,CLT,Wednesday,06:00,113,0
US,1440,BNA,CLT,Wednesday,06:00,74,0
US,1772,MHT,CLT,Wednesday,06:00,152,0
US,1997,ORD,CLT,Wednesday,06:00,118,0
US,2021,BOS,DCA,Wednesday,06:00,96,0
US,2114,LGA,BOS,Wednesday,06:00,62,1
US,2115,BOS,LGA,Wednesday,06:00,70,0
US,2158,DCA,LGA,Wednesday,06:00,60,0
US,2161,LGA,DCA,Wednesday,06:00,59,0
US,270,IAH,PHX,Wednesday,06:00,172,0
US,56,ORD,PHL,Wednesday,06:00,119,0
US,578,SFO,PHX,Wednesday,06:00,111,0
US,595,MCI,PHX,Wednesday,06:00,174,0
US,652,IND,PHX,Wednesday,06:00,235,0
US,86,OMA,PHX,Wednesday,06:00,175,1
US,952,FLL,PHL,Wednesday,06:00,157,0
US,985,MSY,CLT,Wednesday,06:00,108,1
WN,1067,OAK,SAN,Wednesday,06:00,85,1
WN,109,MSY,DEN,Wednesday,06:00,180,0
WN,1289,GEG,SEA,Wednesday,06:00,70,0
WN,1357,SMF,ONT,Wednesday,06:00,80,0
WN,1851,ONT,OAK,Wednesday,06:00,80,1
WN,1929,LAX,DEN,Wednesday,06:00,135,0
WN,2529,IND,DEN,Wednesday,06:00,185,1
WN,2643,SMF,LAX,Wednesday,06:00,80,1
WN,2891,MDW,IAD,Wednesday,06:00,105,0
WN,3061,LGA,MDW,Wednesday,06:00,150,0
WN,367,MDW,BNA,Wednesday,06:00,85,1
WN,3,LIT,DAL,Wednesday,06:00,70,0
WN,406,SEA,LAS,Wednesday,06:00,140,1
WN,425,BOS,MDW,Wednesday,06:00,175,0
WN,647,PHX,DEN,Wednesday,06:00,105,1
WN,702,MDW,LAS,Wednesday,06:00,245,1
WN,735,IAD,DEN,Wednesday,06:00,240,0
WN,748,SMF,DEN,Wednesday,06:00,145,1
WN,799,LAX,SFO,Wednesday,06:00,80,0
WN,944,OAK,ONT,Wednesday,06:00,75,1
XE,2143,GSP,IAH,Wednesday,06:00,160,1
XE,2231,JAN,IAH,Wednesday,06:00,77,1
XE,2384,SHV,IAH,Wednesday,06:00,55,0
XE,2485,ORF,IAH,Wednesday,06:00,201,0
XE,2614,CMH,EWR,Wednesday,06:00,97,0
XE,2644,GPT,IAH,Wednesday,06:00,81,1
XE,2652,LEX,IAH,Wednesday,06:00,159,1
